,Time,HR,HR-LP,Tb,Tb Transformed
252,2013-12-01 9:48,271.0,328.4451507351041,35.866,36.03331113640149
253,2013-12-01 9:52,405.0,331.317292759011,35.819,35.99071159717982
254,2013-12-01 9:56,396.0,333.85124046971185,36.331,36.454774662743574
255,2013-12-01 10:00,379.0,335.848923571343,37.035,37.09286137789374
256,2013-12-01 10:04,437.0,337.29471903952606,37.312,37.34392674734914
257,2013-12-01 10:08,441.0,337.9719393674233,37.254,37.29135710320325
258,2013-12-01 10:12,370.0,337.8977669552006,37.552,37.561456309332144
259,2013-12-01 10:16,343.0,337.4393106053822,37.411,37.43365769166713
260,2013-12-01 10:20,351.0,336.8532653191726,37.284,37.31854829845112
261,2013-12-01 10:24,349.0,336.1633819543504,37.137,37.18531144173652
262,2013-12-01 10:28,352.0,335.3479073923306,37.063,37.118239826791765
263,2013-12-01 10:32,313.0,334.47758299528556,37.034,37.09195500471881
264,2013-12-01 10:36,397.0,333.5245890782205,37.097,37.14905651473936
265,2013-12-01 10:40,345.0,332.30880304642903,37.221,37.261446788430575
266,2013-12-01 10:44,366.0,330.81715648121957,37.653,37.653
267,2013-12-01 10:48,334.0,329.12996460722513,37.433,37.45359790151557
268,2013-12-01 10:52,378.0,327.2299561215774,37.433,37.45359790151557
269,2013-12-01 10:56,349.0,325.0400106737449,37.273,37.3085781935269
270,2013-12-01 11:00,314.0,322.64982007555835,36.827,36.90433575750846
271,2013-12-01 11:04,284.0,320.32560359971444,36.575,36.67592971742631
272,2013-12-01 11:08,311.0,318.1982052299599,36.363,36.48377860434131
273,2013-12-01 11:12,305.0,316.208537476816,36.149,36.28981474490646
274,2013-12-01 11:16,362.0,314.178379684582,36.025,36.17742447121523
275,2013-12-01 11:20,296.0,311.99601749335255,36.207,36.34238438905235
276,2013-12-01 11:24,295.0,309.8113908858541,36.264,36.39404766002332
277,2013-12-01 11:28,320.0,307.7008656367051,36.09,36.23633872758563
278,2013-12-01 11:32,398.0,305.3625535361165,36.238,36.370481957475164
279,2013-12-01 11:36,338.0,302.5059089670991,35.836,36.006119941153614
280,2013-12-01 11:40,401.0,299.0586560154925,35.216,35.44416857269749
281,2013-12-01 11:44,402.0,294.840723270964,35.739,35.91820174318548
282,2013-12-01 11:48,327.0,289.83679426582853,35.548,35.745084466773996
283,2013-12-01 11:52,308.0,284.3767126029151,35.394,35.6055029978349
284,2013-12-01 11:56,285.0,278.7149298830454,35.146,35.38072245045245
285,2013-12-01 12:00,186.0,273.1665088842872,34.819,35.084338422250596
286,2013-12-01 12:04,237.0,268.06089653492893,34.419,34.72178915227891
287,2013-12-01 12:08,290.0,263.2277540978532,34.148,34.476162021873094
288,2013-12-01 12:12,247.0,258.3698953178875,33.962,34.30757661133626
289,2013-12-01 12:16,254.0,253.50196093286695,33.826,34.18430985954588
290,2013-12-01 12:20,213.0,248.73657387602685,33.631,34.00756709043469
291,2013-12-01 12:24,340.0,243.91534437475335,33.681,34.052885749181144
292,2013-12-01 12:28,226.0,238.77462603048312,33.517,33.904240548492766
293,2013-12-01 12:32,224.0,233.49816375261457,33.38,33.780067423527456
294,2013-12-01 12:36,240.0,228.26626329699795,33.24,33.65317517903736
295,2013-12-01 12:40,243.0,222.9587249099923,33.056,33.48640251485038
296,2013-12-01 12:44,209.0,217.55497541302032,32.778,33.234430772220065
297,2013-12-01 12:48,264.0,212.02912602465094,32.507,32.98880364181424
298,2013-12-01 12:52,189.0,206.32968135847076,32.667,33.133823349802924
299,2013-12-01 12:56,211.0,200.5685376314967,32.207,32.71689168933548
300,2013-12-01 13:00,209.0,194.7678845870702,31.938,32.47307730527952
301,2013-12-01 13:04,190.0,188.87823460802016,31.76,32.31174288014212
302,2013-12-01 13:08,186.0,182.9451497288357,31.57,32.13953197690557
303,2013-12-01 13:12,269.0,176.79091376627773,31.375,31.962789207794373
304,2013-12-01 13:16,183.0,170.19126064037633,30.899,31.531355576528068
305,2013-12-01 13:20,158.0,163.34144593157313,30.386,31.066386137789376
306,2013-12-01 13:24,151.0,156.49913325069326,29.844,30.575131876977743
307,2013-12-01 13:28,115.0,149.7704872357937,29.219,30.008648642646982
308,2013-12-01 13:32,109.0,143.28497503264427,28.569,29.419506078942987
309,2013-12-01 13:36,134.0,137.03603908017195,27.882,28.796827707766617
310,2013-12-01 13:40,106.0,130.93230356822116,27.225,28.20134053183812
311,2013-12-01 13:44,100.0,125.00181945426618,26.54,27.580474907011606
312,2013-12-01 13:48,66.0,119.35665200075734,25.741,26.85628274024316
313,2013-12-01 13:52,82.0,114.07574769555245,25.095,26.270765669238887
314,2013-12-01 13:56,65.0,109.15437318767461,24.426,25.664402015211238
315,2013-12-01 14:00,85.0,104.54419346067807,23.781,25.07979131738189
316,2013-12-01 14:04,72.0,100.18181672092506,23.174,24.52962280019986
317,2013-12-01 14:08,63.0,96.06178323864704,22.569,23.98126702936768
318,2013-12-01 14:12,77.0,92.18525174836094,21.966,23.434724004885364
319,2013-12-01 14:16,44.0,88.54886523133491,21.379,22.902682951201914
320,2013-12-01 14:20,41.0,85.24279301147659,20.788,22.367016404818745
321,2013-12-01 14:24,70.0,82.25984844009629,20.269,21.89660872703048
322,2013-12-01 14:28,55.0,79.48428027395119,19.759,21.43435840781658
323,2013-12-01 14:32,91.0,76.81333071129792,19.228,20.953074251929166
324,2013-12-01 14:36,88.0,74.10282540817292,18.727,20.498981291289624
325,2013-12-01 14:40,43.0,71.36203212373867,18.204,20.024948120801646
326,2013-12-01 14:44,81.0,68.68910496759933,17.742,19.60620371398435
327,2013-12-01 14:48,40.0,66.08250218370691,17.31,19.21465050241492
328,2013-12-01 14:52,75.0,63.53904443047581,16.923,18.863884083717313
329,2013-12-01 14:56,37.0,61.0561153446004,16.934,18.873854188641538
330,2013-12-01 15:00,67.0,58.636096033862025,16.537,18.514024038194634
331,2013-12-01 15:04,29.0,56.29307303526131,16.157,18.169602231721534
332,2013-12-01 15:08,41.0,54.08193973131338,15.787,17.834244156997727
333,2013-12-01 15:12,68.0,51.95400663051104,15.426,17.50704344084828
334,2013-12-01 15:16,35.0,49.81674783072905,15.067,17.181655471048686
335,2013-12-01 15:20,60.0,47.68231304016929,14.702,16.85082926219952
336,2013-12-01 15:24,59.0,45.49600985452431,14.334,16.51728393382557
337,2013-12-01 15:28,0.0,43.318586732897884,13.977,16.19370871037584
338,2013-12-01 15:32,52.0,41.27996750587016,13.642,15.890073696774552
339,2013-12-01 15:36,51.0,39.26390455508303,13.283,15.564685726974961
340,2013-12-01 15:40,48.0,37.147664636752566,12.88,15.199417337478488
341,2013-12-01 15:44,0.0,35.03497015265274,12.614,14.958322072947317
342,2013-12-01 15:48,0.0,33.127647140222635,12.337,14.707256703491922
343,2013-12-01 15:52,0.0,31.515678261140923,11.998,14.399996197190918
344,2013-12-01 15:56,40.0,30.095535396123047,11.724,14.151649947260314
345,2013-12-01 16:00,0.0,28.765400677321797,11.402,13.859797784933102
346,2013-12-01 16:04,41.0,27.51118619446483,11.152,13.6332044912008
347,2013-12-01 16:08,0.0,26.31948091467457,10.921,13.42383228779215
348,2013-12-01 16:12,0.0,25.27104532104169,10.674,13.199958113584634
349,2013-12-01 16:16,46.0,24.345387392205872,10.466,13.011432493199356
350,2013-12-01 16:20,0.0,23.431724451289384,10.237,12.803873036140565
